SGD_w_Momentum optimization using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=56, Epoch=6, minibatch=7, loss=0.04503, Wa=2.2037, Wb=1.0688, unitvecWa=0.70435, unitvecWb=-0.70985, eff_stepsize=0.00235, dWa=0.02432, dWb=0.02688, VdWa=0.16518, VdWb=-0.16647, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=57, Epoch=7, minibatch=0, loss=0.05395, Wa=2.2020, Wb=1.0704, unitvecWa=0.79353, unitvecWb=-0.60853, eff_stepsize=0.00222, dWa=0.02754, dWb=0.01470, VdWa=0.17621, VdWb=-0.13513, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=58, Epoch=7, minibatch=1, loss=0.02833, Wa=2.2003, Wb=1.0718, unitvecWa=0.78210, unitvecWb=-0.62315, eff_stepsize=0.00223, dWa=0.01557, dWb=-0.01715, VdWa=0.17415, VdWb=-0.13876, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=59, Epoch=7, minibatch=2, loss=0.05828, Wa=2.1985, Wb=1.0732, unitvecWa=0.99881, unitvecWb=-0.04879, eff_stepsize=0.00193, dWa=0.03626, dWb=0.11546, VdWa=0.19300, VdWb=-0.00943, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=60, Epoch=7, minibatch=3, loss=0.04915, Wa=2.1966, Wb=1.0733, unitvecWa=1.00000, unitvecWb=0.00218, eff_stepsize=0.00199, dWa=0.02553, dWb=0.00892, VdWa=0.19924, VdWb=0.00044, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=61, Epoch=7, minibatch=4, loss=0.04106, Wa=2.1946, Wb=1.0733, unitvecWa=0.84928, unitvecWb=0.52794, eff_stepsize=0.00247, dWa=0.03007, dWb=0.12977, VdWa=0.20938, VdWb=0.13016, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=62, Epoch=7, minibatch=5, loss=0.06958, Wa=2.1925, Wb=1.0720, unitvecWa=0.76039, unitvecWb=0.64947, eff_stepsize=0.00299, dWa=0.03908, dWb=0.07719, VdWa=0.22752, VdWb=0.19433, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=63, Epoch=7, minibatch=6, loss=0.05778, Wa=2.1902, Wb=1.0700, unitvecWa=0.70801, unitvecWb=0.70620, eff_stepsize=0.00335, dWa=0.03231, dWb=0.06157, VdWa=0.23708, VdWb=0.23647, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=64, Epoch=7, minibatch=7, loss=0.06115, Wa=2.1879, Wb=1.0676, unitvecWa=0.65388, unitvecWb=0.75660, eff_stepsize=0.00381, dWa=0.03593, dWb=0.07564, VdWa=0.24930, VdWb=0.28846, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=65, Epoch=8, minibatch=0, loss=0.05391, Wa=2.1854, Wb=1.0648, unitvecWa=0.62754, unitvecWb=0.77859, eff_stepsize=0.00407, dWa=0.03091, dWb=0.05712, VdWa=0.25528, VdWb=0.31673, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=66, Epoch=8, minibatch=1, loss=0.05810, Wa=2.1828, Wb=1.0616, unitvecWa=0.55393, unitvecWb=0.83257, eff_stepsize=0.00483, dWa=0.03779, dWb=0.11707, VdWa=0.26754, VdWb=0.40213, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=67, Epoch=8, minibatch=2, loss=0.02275, Wa=2.1802, Wb=1.0576, unitvecWa=0.66570, unitvecWb=0.74622, eff_stepsize=0.00377, dWa=0.00986, dWb=-0.08094, VdWa=0.25065, VdWb=0.28097, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=68, Epoch=8, minibatch=3, loss=0.05714, Wa=2.1776, Wb=1.0548, unitvecWa=0.64246, unitvecWb=0.76632, eff_stepsize=0.00403, dWa=0.03309, dWb=0.05568, VdWa=0.25868, VdWb=0.30855, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=69, Epoch=8, minibatch=4, loss=0.05609, Wa=2.1751, Wb=1.0517, unitvecWa=0.60965, unitvecWb=0.79267, eff_stepsize=0.00437, dWa=0.03385, dWb=0.06902, VdWa=0.26666, VdWb=0.34672, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=70, Epoch=8, minibatch=5, loss=0.07295, Wa=2.1724, Wb=1.0482, unitvecWa=0.62076, unitvecWb=0.78400, eff_stepsize=0.00448, dWa=0.03800, dWb=0.03906, VdWa=0.27800, VdWb=0.35111, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=71, Epoch=8, minibatch=6, loss=0.03847, Wa=2.1696, Wb=1.0447, unitvecWa=0.77602, unitvecWb=0.63071, eff_stepsize=0.00342, dWa=0.01481, dWb=-0.10061, VdWa=0.26501, VdWb=0.21539, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=72, Epoch=8, minibatch=7, loss=0.05078, Wa=2.1670, Wb=1.0425, unitvecWa=0.76663, unitvecWb=0.64209, eff_stepsize=0.00349, dWa=0.02905, dWb=0.03024, VdWa=0.26756, VdWb=0.22409, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=73, Epoch=9, minibatch=0, loss=0.05047, Wa=2.1643, Wb=1.0403, unitvecWa=0.77780, unitvecWb=0.62851, eff_stepsize=0.00344, dWa=0.02697, dWb=0.01469, VdWa=0.26777, VdWb=0.21638, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=74, Epoch=9, minibatch=1, loss=0.03329, Wa=2.1616, Wb=1.0381, unitvecWa=0.93137, unitvecWb=0.36408, eff_stepsize=0.00274, dWa=0.01429, dWb=-0.09495, VdWa=0.25529, VdWb=0.09979, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=75, Epoch=9, minibatch=2, loss=0.03767, Wa=2.1591, Wb=1.0371, unitvecWa=0.96739, unitvecWb=0.25328, eff_stepsize=0.00258, dWa=0.01966, dWb=-0.02451, VdWa=0.24942, VdWb=0.06530, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=76, Epoch=9, minibatch=3, loss=0.05971, Wa=2.1566, Wb=1.0365, unitvecWa=0.89893, unitvecWb=0.43809, eff_stepsize=0.00289, dWa=0.03551, dWb=0.06794, VdWa=0.25999, VdWb=0.12671, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=77, Epoch=9, minibatch=4, loss=0.04646, Wa=2.1540, Wb=1.0352, unitvecWa=0.99126, unitvecWb=0.13190, eff_stepsize=0.00256, dWa=0.02026, dWb=-0.08020, VdWa=0.25425, VdWb=0.03383, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=78, Epoch=9, minibatch=5, loss=0.06307, Wa=2.1514, Wb=1.0349, unitvecWa=0.98956, unitvecWb=0.14409, eff_stepsize=0.00265, dWa=0.03338, dWb=0.00773, VdWa=0.26221, VdWb=0.03818, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=79, Epoch=9, minibatch=6, loss=0.05662, Wa=2.1488, Wb=1.0345, unitvecWa=0.99006, unitvecWb=0.14068, eff_stepsize=0.00271, dWa=0.03215, dWb=0.00374, VdWa=0.26813, VdWb=0.03810, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=80, Epoch=9, minibatch=7, loss=0.05574, Wa=2.1461, Wb=1.0341, unitvecWa=0.97343, unitvecWb=0.22899, eff_stepsize=0.00280, dWa=0.03165, dWb=0.02992, VdWa=0.27297, VdWb=0.06421, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=81, Epoch=10, minibatch=0, loss=0.05745, Wa=2.1434, Wb=1.0335, unitvecWa=0.96700, unitvecWb=0.25478, eff_stepsize=0.00287, dWa=0.03225, dWb=0.01544, VdWa=0.27793, VdWb=0.07323, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=82, Epoch=10, minibatch=1, loss=0.06699, Wa=2.1406, Wb=1.0327, unitvecWa=0.92331, unitvecWb=0.38405, eff_stepsize=0.00312, dWa=0.03839, dWb=0.05411, VdWa=0.28853, VdWb=0.12001, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=83, Epoch=10, minibatch=2, loss=0.03332, Wa=2.1377, Wb=1.0315, unitvecWa=0.99836, unitvecWb=-0.05717, eff_stepsize=0.00271, dWa=0.01138, dWb=-0.12353, VdWa=0.27105, VdWb=-0.01552, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=84, Epoch=10, minibatch=3, loss=0.04128, Wa=2.1350, Wb=1.0317, unitvecWa=0.96793, unitvecWb=-0.25122, eff_stepsize=0.00272, dWa=0.01958, dWb=-0.05442, VdWa=0.26353, VdWb=-0.06840, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
updates=85, Epoch=10, minibatch=4, loss=0.04066, Wa=2.1324, Wb=1.0324, unitvecWa=0.89373, unitvecWb=-0.44861, eff_stepsize=0.00287, dWa=0.01940, dWb=-0.06723, VdWa=0.25658, VdWb=-0.12879, sqrt_SdWa=0.00000, sqrt_SdWb=0.00000
