Adam using custom implementation
nsamples=512, batch_size=64, epoch=160, lr=0.01
initial Wa=0.10000000149011612, Wb=1.7999999523162842
updates=73, Epoch=9, minibatch=0, loss=0.08094, Wa=0.3091, Wb=1.4384, unitvecWa=-0.98188, unitvecWb=0.18952, eff_stepsize=0.00222, dWa=-1.73231, dWb=-0.00948, VdWa=-4.69313, VdWb=0.01059, sqrt_SdWa=5.72498, sqrt_SdWb=0.06695
updates=74, Epoch=9, minibatch=1, loss=0.03216, Wa=0.3112, Wb=1.4380, unitvecWa=-0.89609, unitvecWb=0.44386, eff_stepsize=0.00222, dWa=-0.30238, dWb=0.15172, VdWa=-4.25406, VdWb=0.02471, sqrt_SdWa=5.72213, sqrt_SdWb=0.06709
updates=75, Epoch=9, minibatch=2, loss=0.08712, Wa=0.3132, Wb=1.4370, unitvecWa=-0.89466, unitvecWb=0.44674, eff_stepsize=0.00216, dWa=-2.84877, dWb=0.01846, VdWa=-4.11353, VdWb=0.02408, sqrt_SdWa=5.71998, sqrt_SdWb=0.06706
updates=76, Epoch=9, minibatch=3, loss=0.08864, Wa=0.3151, Wb=1.4361, unitvecWa=-0.79541, unitvecWb=0.60607, eff_stepsize=0.00238, dWa=-3.05199, dWb=0.14201, VdWa=-4.00738, VdWb=0.03587, sqrt_SdWa=5.71793, sqrt_SdWb=0.06718
updates=77, Epoch=9, minibatch=4, loss=0.15919, Wa=0.3170, Wb=1.4346, unitvecWa=-0.92910, unitvecWb=0.36983, eff_stepsize=0.00215, dWa=-5.85694, dWb=-0.12657, VdWa=-4.19233, VdWb=0.01963, sqrt_SdWa=5.71807, sqrt_SdWb=0.06726
updates=78, Epoch=9, minibatch=5, loss=0.14747, Wa=0.3190, Wb=1.4338, unitvecWa=-0.97511, unitvecWb=0.22172, eff_stepsize=0.00213, dWa=-5.64807, dWb=-0.06065, VdWa=-4.33791, VdWb=0.01160, sqrt_SdWa=5.71800, sqrt_SdWb=0.06726
updates=79, Epoch=9, minibatch=6, loss=0.12806, Wa=0.3211, Wb=1.4334, unitvecWa=-0.99301, unitvecWb=0.11799, eff_stepsize=0.00215, dWa=-5.22566, dWb=-0.04256, VdWa=-4.42668, VdWb=0.00619, sqrt_SdWa=5.71753, sqrt_SdWb=0.06724
updates=80, Epoch=9, minibatch=7, loss=0.07583, Wa=0.3233, Wb=1.4331, unitvecWa=-0.98772, unitvecWb=-0.15621, eff_stepsize=0.00207, dWa=-2.23333, dWb=-0.13407, VdWa=-4.20735, VdWb=-0.00784, sqrt_SdWa=5.71511, sqrt_SdWb=0.06734
updates=81, Epoch=10, minibatch=0, loss=0.16976, Wa=0.3253, Wb=1.4334, unitvecWa=-0.96826, unitvecWb=-0.24993, eff_stepsize=0.00233, dWa=-8.43518, dWb=-0.07018, VdWa=-4.63013, VdWb=-0.01407, sqrt_SdWa=5.71847, sqrt_SdWb=0.06734
updates=82, Epoch=10, minibatch=1, loss=0.04012, Wa=0.3276, Wb=1.4340, unitvecWa=-0.98500, unitvecWb=-0.17256, eff_stepsize=0.00212, dWa=-0.76948, dWb=0.03909, VdWa=-4.24406, VdWb=-0.00876, sqrt_SdWa=5.71567, sqrt_SdWb=0.06732
updates=83, Epoch=10, minibatch=2, loss=0.08386, Wa=0.3296, Wb=1.4344, unitvecWa=-0.99796, unitvecWb=-0.06384, eff_stepsize=0.00200, dWa=-2.16464, dWb=0.04840, VdWa=-4.03612, VdWb=-0.00304, sqrt_SdWa=5.71322, sqrt_SdWb=0.06730
updates=84, Epoch=10, minibatch=3, loss=0.05822, Wa=0.3316, Wb=1.4345, unitvecWa=-0.97129, unitvecWb=0.23791, eff_stepsize=0.00194, dWa=-1.53978, dWb=0.13685, VdWa=-3.78649, VdWb=0.01095, sqrt_SdWa=5.71057, sqrt_SdWb=0.06741
updates=85, Epoch=10, minibatch=4, loss=0.11893, Wa=0.3335, Wb=1.4340, unitvecWa=-0.99694, unitvecWb=-0.07820, eff_stepsize=0.00187, dWa=-3.20833, dWb=-0.13311, VdWa=-3.72867, VdWb=-0.00346, sqrt_SdWa=5.70861, sqrt_SdWb=0.06750
updates=86, Epoch=10, minibatch=5, loss=0.08646, Wa=0.3354, Wb=1.4342, unitvecWa=-0.99212, unitvecWb=-0.12529, eff_stepsize=0.00182, dWa=-2.25376, dWb=-0.02235, VdWa=-3.58118, VdWb=-0.00535, sqrt_SdWa=5.70620, sqrt_SdWb=0.06747
updates=87, Epoch=10, minibatch=6, loss=0.15575, Wa=0.3372, Wb=1.4344, unitvecWa=-0.95323, unitvecWb=-0.30224, eff_stepsize=0.00203, dWa=-6.05466, dWb=-0.09547, VdWa=-3.82853, VdWb=-0.01436, sqrt_SdWa=5.70656, sqrt_SdWb=0.06751
updates=88, Epoch=10, minibatch=7, loss=0.09194, Wa=0.3391, Wb=1.4350, unitvecWa=-0.99315, unitvecWb=-0.11688, eff_stepsize=0.00190, dWa=-2.56684, dWb=0.07767, VdWa=-3.70236, VdWb=-0.00516, sqrt_SdWa=5.70429, sqrt_SdWb=0.06752
updates=89, Epoch=11, minibatch=0, loss=0.05661, Wa=0.3410, Wb=1.4353, unitvecWa=-0.99715, unitvecWb=-0.07547, eff_stepsize=0.00176, dWa=-1.03199, dWb=0.01564, VdWa=-3.43532, VdWb=-0.00308, sqrt_SdWa=5.70153, sqrt_SdWb=0.06749
